mode,label,seed,baseline_MAE,augmented_MAE,delta_MAE,augmented_RMSE
offline,Hand-written rules,0,3.0802590870509277,3.106484207144506,0.026225120093578358,20.996717480071887
offline,Hand-written rules,1,3.1173668902171268,3.1530546550686154,0.03568776485148861,21.346778014880524
offline,Hand-written rules,2,3.070711033581361,3.1210126427160936,0.05030160913473258,21.05157991888696
offline,Hand-written rules,3,3.125963718217236,3.1323337914548026,0.006370073237566665,21.26629159403724
offline,Hand-written rules,4,3.1064324152838454,3.1558667003812992,0.049434285097453845,21.3962441463999
learned,Model trained on this data,0,3.0802590870509277,3.1080653238849902,0.02780623683406258,20.830271158608973
learned,Model trained on this data,1,3.1173668902171268,3.1807914393505303,0.06342454913340356,21.70372513169264
learned,Model trained on this data,2,3.070711033581361,3.1383556487845405,0.06764461520317955,20.893477433400122
learned,Model trained on this data,3,3.125963718217236,3.102471112456316,-0.02349260576092016,21.001144900165915
learned,Model trained on this data,4,3.1064324152838454,3.0795244052416613,-0.026908010042184127,20.449103787238098
