aug_frac,seed,baseline_MAE,augmented_MAE,baseline_RMSE,augmented_RMSE,delta_MAE
0.25,0,3.114136078219426,3.1131648386062665,21.131884182131355,21.274177202288705,-0.0009712396131593692
0.25,1,3.1280278727937203,3.1284200355367204,21.325208498025507,21.137514982792467,0.0003921627430001351
0.25,2,3.0800506660835434,3.0817199365541263,21.112053893111018,20.49729865216616,0.001669270470582962
0.25,3,3.143883752425255,3.1406678519863136,21.43891508924024,21.495814813433338,-0.003215900438941599
0.25,4,3.092739615655728,3.1310296486938975,21.02576985072638,21.49485618685301,0.03829003303816947
0.5,0,3.114136078219426,3.0789886940543947,21.131884182131355,20.81581163092158,-0.03514738416503116
0.5,1,3.1280278727937203,3.129563312606107,21.325208498025507,21.051688552035852,0.0015354398123865742
0.5,2,3.0800506660835434,3.078628327277426,21.112053893111018,20.668251444498246,-0.001422338806117196
0.5,3,3.143883752425255,3.1543790937026825,21.43891508924024,21.467715734325616,0.01049534127742735
0.5,4,3.092739615655728,3.0998598641366293,21.02576985072638,20.83334972132903,0.0071202484809012034
1.0,0,3.114136078219426,3.1200421024630427,21.131884182131355,21.07601592183358,0.005906024243616859
1.0,1,3.1280278727937203,3.1712897983020896,21.325208498025507,21.497109683688553,0.04326192550836927
1.0,2,3.0800506660835434,3.105213050020961,21.112053893111018,21.080130220945335,0.025162383937417765
1.0,3,3.143883752425255,3.139618831465666,21.43891508924024,21.596711607725766,-0.00426492095958908
1.0,4,3.092739615655728,3.1311501161686346,21.02576985072638,21.130070083259643,0.03841050051290651
2.0,0,3.114136078219426,3.109003299210906,21.131884182131355,20.727764175652922,-0.00513277900852005
2.0,1,3.1280278727937203,3.1313391374013335,21.325208498025507,21.037257425162025,0.003311264607613218
2.0,2,3.0800506660835434,3.0768303740767444,21.112053893111018,20.755340056254443,-0.0032202920067989638
2.0,3,3.143883752425255,3.1124111595159354,21.43891508924024,21.228073722906846,-0.03147259290931981
2.0,4,3.092739615655728,3.0950644832240424,21.02576985072638,21.067819310356896,0.0023248675683142928
